employee_code,full_name,department,salary_millimes,hire_date,past_advance_count,on_time_repayment_rate,dept_attrition_rate,performance_score,has_active_advance,days_since_last_advance,existing_debt_ratio,opted_in_wallet
EMP00033,Rim Riahi,Engineering,1466942,2011-11-12,19,0.7483,0.1588,3.0,0,349,0.2314,1
EMP00034,Wael Mejri,Engineering,2689438,2026-01-31,1,0.8752,0.1126,3.0,0,64,0.036,1
EMP00035,Meryem Jedidi,Sales,2052500,2024-07-12,2,0.8434,0.1585,3.0,0,346,0.024,1
EMP00036,Aymen Nasri,Logistics,1647840,2016-10-12,19,0.7242,0.1015,3.5,0,338,0.4655,1
EMP00037,Asma Bensalem,Sales,2038627,2023-11-22,3,0.7441,0.2786,3.0,0,47,0.1813,0
EMP00038,Skander Boujemaa,Sales,842419,2021-11-06,0,0.7745,0.1289,2.5,0,365,0.0767,0
EMP00039,Afef Bensalem,Finance,7851697,2025-12-23,1,0.8656,0.0424,5.0,0,352,0.0885,0
EMP00040,Houssem Khlifi,Logistics,1553913,2025-05-24,1,0.8206,0.0862,3.5,0,212,0.1505,0
EMP00041,Imed Chahed,Sales,3423622,2025-09-24,0,0.803,0.1488,3.5,0,365,0.0687,0
EMP00042,Olfa Cherif,Sales,2421176,2025-04-04,0,0.9785,0.2467,3.5,0,365,0.1011,1
EMP00043,Riadh Belhadj,Engineering,2740082,2026-01-19,1,0.7394,0.1095,3.5,1,27,0.3332,0
EMP00044,Slim Trabelsi,Support,1267398,2024-09-21,0,0.9924,0.2445,2.0,0,365,0.1043,0
EMP00045,Imed Gharbi,Sales,7753754,2012-11-16,11,0.7298,0.291,4.0,1,37,0.3272,0
EMP00046,Amine Yahyaoui,Engineering,2386777,2017-06-30,11,0.8997,0.086,3.0,0,32,0.0917,0
EMP00047,Mohamed Saidi,Logistics,1415089,2022-06-09,0,0.706,0.1537,2.0,0,365,0.1008,1
EMP00048,Houda Cherif,Support,1318464,2025-11-19,0,0.7978,0.1029,2.5,0,365,0.0066,0
EMP00049,Yassine Oueslati,Logistics,1877430,2020-01-09,3,0.837,0.1825,3.0,0,226,0.1107,0
EMP00050,Sonia Khlifi,Sales,2739988,2016-03-02,14,0.8968,0.1966,3.5,0,122,0.0532,0
EMP00051,Bilel Boujemaa,Sales,1277146,2026-02-11,1,0.7794,0.269,2.5,0,235,0.0038,0
EMP00052,Emna Riahi,Support,956463,2022-07-14,1,0.86,0.103,2.5,0,306,0.067,0
EMP00053,Wael Dridi,Finance,2017268,2023-02-11,1,0.8966,0.127,3.5,0,45,0.0206,0
EMP00054,Hajer Belhadj,Support,1833079,2023-01-15,1,0.9858,0.2229,3.5,0,72,0.0383,0
EMP00055,Hatem Mejri,Support,974421,2025-06-11,0,0.7529,0.1799,2.5,0,365,0.177,1
EMP00056,Lotfi Tlili,Sales,1206711,2025-10-19,1,0.8073,0.2893,2.5,0,347,0.08,0
EMP00057,Bilel Meddeb,Engineering,2907373,2025-12-01,1,0.8609,0.1204,3.0,0,283,0.1197,0
EMP00058,Houssem Jedidi,Sales,1317924,2006-11-19,37,0.7489,0.1401,2.5,0,46,0.2662,1
EMP00059,Nizar Hamdi,Engineering,2817828,2026-03-16,1,0.7829,0.1148,3.0,0,157,0.3595,0
EMP00060,Mehdi Chaabane,Logistics,1047298,2021-04-28,3,0.7706,0.199,2.5,1,29,0.263,0
EMP00061,Rachid Ayari,Sales,3359659,2026-03-06,1,0.6782,0.2024,4.0,0,35,0.4665,0
EMP00062,Sonia Chahed,Logistics,3998426,2026-01-29,0,0.8374,0.2006,4.0,0,365,0.0636,1
EMP00063,Ons Tlili,Support,2000729,2026-03-16,1,0.8494,0.1189,3.5,0,345,0.0732,1
EMP00064,Aymen Khlifi,Logistics,1351697,2025-01-02,0,0.8148,0.2068,2.0,0,365,0.0546,1
EMP00065,Rachid Hamdi,Finance,2635157,2023-06-15,2,0.8295,0.087,3.0,0,233,0.159,0
EMP00066,Nesrine Saidi,Sales,2822328,2013-05-26,10,0.7774,0.2388,3.5,0,217,0.1808,0
EMP00067,Afef Hammami,Logistics,3294297,2026-02-10,0,0.9174,0.1039,3.0,1,365,0.4855,1
EMP00068,Nadia Khlifi,Support,1575978,2025-10-21,1,0.7967,0.1306,3.5,0,315,0.2672,0
EMP00069,Hana Cherif,Sales,2265743,2025-08-30,1,0.924,0.2566,3.5,0,282,0.0471,0
EMP00070,Zied Chahed,Logistics,1904902,2025-11-14,0,0.9432,0.1331,3.5,0,365,0.231,1
EMP00071,Bilel Riahi,Logistics,834896,2025-11-29,0,0.7171,0.1653,2.5,0,365,0.1755,0
EMP00072,Ahlem Chaabane,Finance,6154165,2023-06-09,0,0.9622,0.1143,4.0,0,365,0.2006,0
EMP00073,Emna Hammami,Engineering,3078793,2011-08-25,9,0.8243,0.0507,3.5,0,265,0.3029,0
EMP00074,Fatma Riahi,Logistics,1459057,2026-01-09,1,0.7151,0.094,2.5,1,29,0.4793,0
EMP00075,Yasmine Chaabane,Finance,2095134,2025-12-22,1,0.9215,0.0942,3.0,0,22,0.0158,0
EMP00076,Meryem Ayari,Support,1491324,2018-03-24,16,0.8451,0.1544,2.5,0,67,0.1426,0
EMP00077,Sawsen Ayari,Support,1097289,2026-03-11,0,0.8532,0.2217,2.5,0,365,0.1004,0
EMP00078,Tarek Khlifi,Support,1310196,2026-03-19,0,0.9089,0.1829,2.0,0,365,0.1001,0
EMP00079,Yasmine Riahi,Logistics,1428821,2022-09-30,7,0.7016,0.1744,2.0,0,10,0.3635,0
EMP00080,Hajer Boukthir,Sales,2684542,2022-04-18,1,0.7069,0.1416,3.5,0,50,0.3763,1
EMP00081,Adel Boughanmi,Sales,1471318,2026-02-10,1,0.7537,0.2349,2.5,0,356,0.3687,1
EMP00082,Samira Hammami,Finance,1942668,2026-02-27,0,0.9095,0.0825,3.0,1,365,0.4737,0
EMP00083,Amine Meddeb,Logistics,3353409,2026-02-04,1,0.8903,0.1307,3.5,0,278,0.0035,1
EMP00084,Anis Mansour,Sales,1453106,2025-09-12,0,0.7574,0.1636,2.5,0,365,0.2525,0
EMP00085,Hajer Mansour,Engineering,4181935,2025-05-17,0,0.7808,0.0501,4.0,0,365,0.2434,1
EMP00086,Manel Boujemaa,Logistics,1391982,2025-05-30,1,0.8187,0.1174,2.5,1,36,0.4013,0
EMP00087,Houssem Mechri,Support,1898224,2017-07-21,9,0.8558,0.1782,3.0,0,52,0.3086,0
EMP00088,Dorra Hammami,Support,2764145,2026-03-16,0,0.7626,0.1336,3.0,1,365,0.5059,0
EMP00089,Maher Khemiri,Sales,1785574,2025-12-26,0,0.7679,0.2439,3.5,0,365,0.1925,0
EMP00090,Amine Boukthir,Support,977621,2026-02-21,0,0.8288,0.1075,2.5,1,365,0.3205,0
EMP00091,Zied Dridi,Sales,4567121,2025-10-03,0,0.7061,0.1796,4.0,0,365,0.0225,0
EMP00092,Meryem Belhadj,Sales,6649143,2020-06-17,8,0.7673,0.1612,4.0,0,303,0.2404,1
EMP00093,Tarek Bensalem,Engineering,1979042,2025-12-11,0,0.8139,0.1129,3.5,0,365,0.2444,1
EMP00094,Manel Bouzid,Logistics,1367538,2025-02-20,2,0.8211,0.0894,3.0,1,17,0.2597,0
EMP00095,Bechir Boughanmi,Support,5277980,2026-03-14,1,0.8871,0.146,3.5,0,275,0.1718,0
EMP00096,Ahlem Ben Ali,Engineering,1134576,2022-03-14,8,0.7471,0.0842,2.5,1,34,0.4318,0
EMP00097,Karim Mansour,Sales,3368348,2024-09-19,0,0.7498,0.1651,3.0,0,365,0.1349,0
EMP00098,Ines Oueslati,Sales,1791220,2017-11-12,0,0.9593,0.2779,3.5,0,365,0.232,0
EMP00099,Mariem Elloumi,Sales,6144612,2016-11-17,2,0.8532,0.1725,4.0,0,223,0.0057,1
EMP00100,Adel Khemiri,Support,3262535,2026-02-28,0,0.8261,0.2405,4.0,0,365,0.3234,0
