employee_code,full_name,department,salary_millimes,hire_date,month_elapsed_pct,salary_tier,tenure_months,past_advance_count,on_time_repayment_rate,dept_attrition_rate,performance_score,has_active_advance,days_since_last_advance,existing_debt_ratio,requested_amount_pct,true_max_pct
EMP00023,Houda Boukthir,Support,3244806,2013-01-12,0.6333,1,164.2,16,0.9321,0.23,3.5,0,40,0.0542,37.41,30.68356582438067
EMP00024,Riadh Boujemaa,Engineering,4297454,2013-05-18,0.9355,2,158.3,8,0.8786,0.1242,4.0,0,116,0.0024,16.4,39.279576366897984
EMP00025,Walid Jedidi,Sales,903417,2024-12-13,0.3,0,17.8,1,0.7767,0.2164,3.0,0,299,0.3961,19.83,5.724897174373418
EMP00026,Lotfi Fakhfakh,Logistics,896934,2025-07-15,0.4516,0,8.0,0,0.7122,0.1972,3.0,1,365,0.4182,24.58,0.0
EMP00027,Nesrine Oueslati,Finance,3267710,2025-09-05,0.4194,1,11.2,1,0.7753,0.0901,3.5,0,269,0.2139,44.42,17.509866529242068
EMP00028,Mohamed Khlifi,Finance,1730632,2025-09-01,0.129,1,8.0,1,0.8788,0.0651,3.5,0,240,0.1326,37.9,6.194734077753047
EMP00029,Mehdi Zouari,Engineering,5037615,2026-02-26,0.9355,2,1.0,0,0.846,0.1725,4.0,0,365,0.3794,38.57,8.719553491087199
EMP00030,Samira Hammami,Finance,1942668,2026-02-09,1.0,1,1.6,0,0.9095,0.0825,3.0,1,365,0.4737,12.36,6.195526117668379
EMP00031,Ahmed Dridi,Support,869160,2025-01-04,0.3226,0,12.2,2,0.8062,0.1164,2.5,0,140,0.2115,29.83,5.612762110071969
EMP00032,Amira Mansour,Engineering,1717019,2025-10-22,0.7333,1,1.0,0,0.9255,0.1166,3.5,0,365,0.0103,24.12,8.321094770121817
EMP00033,Rania Chaabane,Support,2808267,2006-06-06,0.2581,1,239.0,14,0.72,0.1129,3.0,0,248,0.3909,12.14,9.77524341808357
EMP00034,Yasmine Khlifi,Support,1436597,2026-07-24,0.1667,0,1.4,1,0.7916,0.174,2.5,0,286,0.0472,21.63,0.8655180987452268
EMP00035,Hatem Nasri,Support,1444630,2010-12-19,0.4,0,178.8,26,0.8694,0.1291,3.5,0,108,0.0099,4.19,17.353063465166255
EMP00036,Imed Hamdi,Engineering,4314973,2025-12-28,0.8065,2,7.9,1,0.9748,0.089,4.0,0,326,0.1417,35.31,29.317211576325562
EMP00037,Bilel Gharbi,Logistics,3407086,2016-09-29,0.4516,1,118.5,15,0.7465,0.2001,3.0,1,29,0.3766,36.71,8.816061076730996
EMP00038,Amira Boughanmi,Engineering,6048181,2018-03-26,0.871,2,94.1,5,0.7875,0.0927,4.5,0,34,0.255,41.75,34.15069422112305
EMP00039,Wafa Boughanmi,Support,2724213,2026-04-16,0.1667,1,1.6,0,0.87,0.2327,3.0,0,365,0.5,21.96,0.7553285481710005
EMP00040,Emna Saidi,Logistics,2926837,2025-11-03,0.5806,1,1.5,1,0.7976,0.1601,3.5,0,113,0.0175,20.15,5.907526552072697
EMP00041,Hatem Chaabane,Sales,3804536,2026-03-25,0.6452,2,3.8,1,0.8409,0.1791,4.5,0,255,0.2201,9.14,24.114656096875855
EMP00042,Nesrine Gharbi,Engineering,7179326,2020-08-28,0.9667,2,70.0,11,0.95,0.1686,3.5,0,39,0.0938,22.75,40.4962465279861
EMP00043,Hatem Boukthir,Engineering,4475201,2025-08-20,0.8571,2,6.2,0,0.7095,0.1029,4.5,0,365,0.1966,18.62,28.801623193307368
EMP00044,Mohamed Boujemaa,Finance,6129953,2014-09-27,0.4333,2,133.5,15,0.782,0.0649,4.0,0,345,0.3297,21.49,18.110608917386035
EMP00045,Riadh Tlili,Logistics,2221365,2016-09-05,0.1613,1,121.0,18,0.7584,0.1747,3.0,0,175,0.3473,24.21,8.587472380071391
EMP00046,Slim Boujemaa,Engineering,3219746,2015-03-22,0.9355,1,132.2,7,0.84,0.159,3.0,0,243,0.0268,11.15,35.640423955574484
EMP00047,Cyrine Ben Ali,Finance,3250417,2022-06-06,0.2333,1,51.1,2,0.7041,0.1366,3.0,0,201,0.2299,23.23,11.022291495096153
EMP00048,Salma Jebali,Logistics,1358671,2025-12-06,0.7,0,6.5,1,0.7688,0.1517,2.0,0,357,0.119,33.3,16.646629117701256
EMP00049,Houda Laabidi,Finance,6110388,2026-06-12,0.871,2,1.5,0,0.8836,0.122,4.0,0,365,0.0185,10.89,9.245943851369958
EMP00050,Firas Dridi,Support,4564283,2025-09-26,0.6774,2,9.8,0,0.9083,0.1497,4.0,0,365,0.1577,23.99,24.093997708031843
EMP00051,Hamza Nasri,Engineering,3352993,2023-07-05,0.9355,1,29.8,0,0.9401,0.0768,3.5,1,365,0.5278,38.11,8.416260646025183
EMP00052,Ines Hammami,Support,3854200,2025-07-19,1.0,2,7.4,1,0.7672,0.149,4.0,1,18,0.3237,10.85,21.89469589969301
EMP00053,Sami Cherif,Logistics,6431056,2006-06-14,0.2,2,237.7,11,0.8721,0.0999,4.5,0,322,0.0726,17.56,15.434181660621686
EMP00054,Imed Hamdi,Logistics,1588510,2026-01-01,0.5667,1,3.5,1,0.8612,0.1597,2.5,0,359,0.0935,17.48,17.749826572313083
EMP00055,Amine Mansour,Finance,4548521,2025-07-31,0.1333,2,3.2,1,0.8913,0.1016,4.5,0,288,0.0396,26.72,10.28560039666505
EMP00056,Amine Belhadj,Sales,1006222,2026-02-04,0.1613,0,3.0,1,0.8815,0.278,3.0,0,109,0.0382,23.83,3.0472022206835376
EMP00057,Leila Ayari,Logistics,1019175,2025-07-10,0.4516,0,5.2,1,0.8796,0.2196,3.0,0,181,0.1367,44.35,12.364786963380299
EMP00058,Afef Belhadj,Engineering,2879788,2026-03-13,0.4839,1,4.1,0,0.9575,0.1011,3.0,0,365,0.3413,29.49,14.221273574425025
EMP00059,Hajer Laabidi,Support,841453,2023-06-25,0.7667,0,35.9,1,0.7951,0.2065,2.5,0,218,0.0424,27.9,22.692914476299258
EMP00060,Nizar Jedidi,Finance,2273469,2023-12-11,0.6,1,33.2,4,0.8027,0.0435,3.0,1,34,0.4272,17.5,11.292446526488478
EMP00061,Mariem Zouari,Finance,3141245,2022-02-14,0.4839,1,53.0,1,0.7741,0.0773,3.0,0,303,0.2271,26.3,18.641707042949584
EMP00062,Ines Khemiri,Finance,5748003,2025-10-13,0.0323,2,4.6,0,0.8662,0.1176,4.5,1,365,0.235,35.24,0.0
EMP00063,Hichem Hammami,Logistics,1266638,2024-03-14,0.129,0,30.7,3,0.6848,0.1865,2.0,1,3,0.4292,8.69,0.0
EMP00064,Nadia Jebali,Logistics,2908933,2012-01-09,0.5484,1,170.2,6,0.9014,0.1533,3.0,0,197,0.2044,4.17,26.922536525090493
EMP00065,Karim Riahi,Engineering,1920454,2016-08-10,0.5,1,114.2,9,0.833,0.0833,3.0,0,183,0.2468,30.13,20.133982565083404
EMP00066,Riadh Khemiri,Finance,3392669,2023-04-02,0.3667,1,41.3,3,0.8045,0.0819,3.5,0,191,0.272,23.84,15.577032813189282
EMP00067,Rym Boukthir,Logistics,2566568,2020-03-12,0.0645,1,71.6,0,0.9266,0.0967,3.0,0,365,0.0346,5.02,5.0
EMP00068,Wael Bouzid,Logistics,1288358,2025-09-26,0.5333,0,1.7,0,0.7197,0.1429,2.5,1,365,0.3032,14.84,0.5951279542486109
EMP00069,Rim Mechri,Logistics,1431732,2020-03-28,0.2333,0,72.3,4,0.8179,0.1628,2.5,0,165,0.2192,34.25,8.26048769796603
EMP00070,Mehdi Jebali,Finance,4985349,2021-03-19,0.0968,2,64.5,5,0.8124,0.09,4.0,0,198,0.2153,11.46,5.0
EMP00071,Lotfi Bouzid,Logistics,2052502,2025-07-22,0.871,1,5.2,0,0.9485,0.1,3.0,0,365,0.2094,15.42,28.038654543386045
EMP00072,Tarek Belhadj,Support,2852374,2026-01-20,0.1667,1,2.5,1,0.8404,0.1711,3.5,0,115,0.0798,20.94,2.0518044604718453
EMP00073,Ons Saidi,Sales,2636121,2015-10-24,0.1613,1,121.4,3,0.8691,0.1223,3.5,0,331,0.0791,3.8,14.019983059559973
EMP00074,Ahlem Chaabane,Sales,1551381,2025-09-23,0.8,1,9.0,0,0.7267,0.1436,2.5,0,365,0.2901,14.69,21.493096654183965
EMP00075,Fatma Zouari,Support,1415982,2026-02-22,0.3,0,1.5,1,0.8578,0.2422,2.5,1,19,0.2588,17.85,0.0
EMP00076,Leila Tlili,Sales,1902932,2026-01-01,0.5714,1,1.5,1,0.8794,0.2159,3.0,0,61,0.0066,29.57,5.7705137203587675
EMP00077,Aymen Mejri,Finance,2835346,2019-12-21,0.2903,1,72.6,3,0.9465,0.099,3.5,0,133,0.0166,20.86,18.245703810031568
EMP00078,Ahlem Ferchichi,Finance,1883907,2024-08-10,0.3548,1,21.0,0,0.8388,0.1145,3.0,0,365,0.4482,9.76,11.399571978919548
EMP00079,Sami Hammami,Logistics,7722872,2022-05-19,0.6,2,49.0,2,0.8856,0.0956,4.5,0,21,0.0545,6.89,28.23636222477388
EMP00080,Fatma Chaabane,Support,2736710,2025-12-02,0.8,1,9.7,0,0.7351,0.2347,3.0,0,365,0.2109,15.85,22.2952462369487
EMP00081,Karim Hammami,Support,5620189,2026-01-30,0.8387,2,1.8,0,0.7609,0.1857,4.0,0,365,0.0597,37.29,8.109573275897072
EMP00082,Ahmed Nasri,Engineering,3138741,2025-07-18,0.5484,1,5.0,1,0.7765,0.07,3.0,0,117,0.2176,15.63,16.372197758609694
EMP00083,Skander Gharbi,Engineering,1134234,2021-05-31,0.5161,0,62.5,0,0.8334,0.1328,2.5,0,365,0.1732,0.76,17.658152045851093
EMP00084,Zied Yahyaoui,Engineering,5130837,2023-06-21,0.1333,2,35.4,2,0.8857,0.1684,4.0,0,242,0.1464,22.68,9.609828398594852
EMP00085,Hajer Belhadj,Finance,7515718,2025-02-01,0.9667,2,16.9,1,0.6916,0.0458,4.5,1,23,0.399,46.05,23.95190747133255
EMP00086,Sonia Bensalem,Support,872973,2025-03-30,0.8,0,7.9,0,0.9478,0.1295,2.5,0,365,0.1208,37.92,25.061600680152356
EMP00087,Riadh Hammami,Finance,1594647,2022-08-11,0.3214,1,42.0,0,0.9676,0.1287,3.5,1,365,0.4644,38.39,6.1904831178636694
EMP00088,Walid Khlifi,Support,810947,2026-01-02,0.7742,0,6.7,1,0.8283,0.1524,3.0,0,146,0.02,16.24,22.47437937308781
EMP00089,Wael Chahed,Logistics,3176694,2026-05-26,0.5161,1,2.7,1,0.8824,0.1372,3.5,0,351,0.1505,9.75,4.482359200145373
EMP00090,Riadh Gharbi,Support,929200,2026-01-26,0.8387,0,1.9,0,0.9579,0.1788,2.5,0,365,0.3636,4.95,6.343676697403764
EMP00091,Dorra Khlifi,Support,1201067,2026-07-05,0.1935,0,1.1,1,0.704,0.1923,2.0,1,21,0.4724,0.97,0.0
EMP00092,Meryem Mansour,Finance,5041828,2026-07-13,0.6129,2,1.2,1,0.8673,0.0537,4.0,0,194,0.0527,36.62,6.901473378241593
EMP00093,Rim Boujemaa,Engineering,4621122,2024-10-25,0.2581,2,16.4,2,0.8326,0.1552,3.5,0,130,0.0613,1.85,11.459659671406367
EMP00094,Adel Meddeb,Logistics,1278968,2024-08-11,0.3,0,24.9,1,0.8852,0.1653,2.0,0,254,0.3151,17.98,4.825401750322843
EMP00095,Wafa Bensalem,Support,2238595,2024-08-20,0.0357,1,17.4,1,0.6921,0.2113,4.0,1,15,0.2753,7.41,0.0
EMP00096,Sami Belhadj,Engineering,3236071,2025-08-31,0.4516,1,4.5,0,0.9567,0.0819,3.0,0,365,0.454,29.29,13.220597479436352
EMP00097,Bilel Jebali,Support,1087582,2026-05-21,0.7667,0,1.1,0,0.8977,0.1155,2.5,0,365,0.2338,20.39,6.328551122251177
EMP00098,Hajer Laabidi,Engineering,7464896,2024-01-15,0.2,2,28.7,0,0.7676,0.1076,4.5,0,365,0.1099,17.7,10.496257378256773
EMP00099,Sawsen Riahi,Support,2114857,2023-01-04,0.2903,1,35.2,1,0.9096,0.1823,4.0,0,82,0.0835,1.03,15.172236865549367
EMP00100,Olfa Mansour,Logistics,1548780,2026-06-08,0.5161,1,2.3,1,0.8587,0.0888,3.0,0,280,0.1531,36.0,5.7634093920670715
EMP00101,Yassine Jebali,Support,1394308,2017-12-28,1.0,0,96.1,8,0.7652,0.1362,2.0,0,201,0.2771,6.94,29.599409039994466
EMP00102,Yassine Chahed,Support,971432,2024-05-23,0.1935,0,26.4,0,0.8462,0.1352,2.5,0,365,0.3972,18.99,2.9267226074839656
EMP00103,Ahmed Mejri,Support,3155482,2025-09-04,0.7097,1,1.6,1,0.7513,0.1503,3.5,1,29,0.2873,27.83,4.063002495460421
EMP00104,Sonia Khlifi,Engineering,2871905,2026-06-24,0.0968,1,1.3,0,0.9292,0.0951,3.5,0,365,0.1991,45.71,1.3865304460279868
EMP00105,Afef Chahed,Sales,3758648,2012-01-22,1.0,2,174.2,28,0.7856,0.199,4.0,0,53,0.1855,42.84,37.85107664819299
EMP00106,Ines Boukthir,Sales,4312907,2022-09-11,0.9032,2,46.5,5,0.7647,0.1499,4.0,0,335,0.177,36.46,33.43798992313001
EMP00107,Rania Zouari,Finance,4963735,2026-05-08,0.5667,2,1.3,0,0.8838,0.0987,4.0,1,365,0.3076,6.5,3.407031959117026
EMP00108,Rania Oueslati,Finance,902393,2026-01-01,0.2667,0,3.2,0,0.8578,0.1355,3.0,0,365,0.0101,33.54,8.749283236888598
EMP00109,Yassine Ayari,Support,964174,2024-03-12,0.0323,0,27.6,0,0.9486,0.1114,2.0,0,365,0.0141,15.04,1.916883735513932
EMP00110,Nadia Khlifi,Finance,2713289,2025-11-13,0.9032,1,2.5,0,0.9449,0.049,3.5,0,365,0.142,22.62,9.129009526206657
EMP00111,Amine Cherif,Engineering,7414661,2019-01-15,0.9032,2,90.4,9,0.8017,0.1486,4.5,0,336,0.2049,35.1,33.19079529368467
EMP00112,Dorra Boujemaa,Logistics,2996738,2015-06-27,0.2581,1,130.4,18,0.8922,0.1267,3.0,0,110,0.0878,23.75,14.492751999327856
EMP00113,Wafa Chahed,Logistics,2447454,2026-03-01,0.1,1,1.1,1,0.8868,0.0878,3.5,0,300,0.1116,37.84,1.7134022321959568
EMP00114,Dorra Bouzid,Logistics,968772,2025-12-10,0.6667,0,4.3,1,0.8483,0.1161,2.5,0,36,0.0975,41.62,17.119045047258176
EMP00115,Dorra Meddeb,Engineering,6077040,2020-12-03,0.4194,2,65.3,0,0.8596,0.1434,4.5,0,365,0.1129,30.46,22.929567987929254
EMP00116,Riadh Oueslati,Support,7195918,2024-06-08,0.0667,2,16.8,2,0.8056,0.1427,3.5,0,186,0.3122,42.88,2.16004648376392
EMP00117,Yassine Hamdi,Finance,3223287,2022-11-07,0.2903,1,37.1,5,0.6655,0.1108,3.0,1,20,0.4837,28.7,0.83931071522436
EMP00118,Imed Boukthir,Logistics,1180306,2025-12-03,0.5161,0,1.4,1,0.8922,0.1992,2.5,0,326,0.0232,6.38,4.499120804604928
EMP00119,Fatma Zouari,Finance,5089115,2019-02-12,1.0,2,81.6,13,0.8681,0.0535,4.0,0,279,0.0777,16.78,38.590728669094524
EMP00120,Riadh Riahi,Sales,5566245,2025-12-26,0.871,2,3.0,0,0.7325,0.2371,4.0,0,365,0.5,38.05,25.544836541788165
EMP00121,Ons Elloumi,Sales,3308868,2026-04-12,0.6,1,2.2,1,0.7591,0.2909,3.5,1,30,0.2616,0.5,2.9488248090414078
EMP00122,Wael Hammami,Support,986776,2018-04-27,0.4333,0,97.5,2,0.8636,0.1068,2.0,0,263,0.0025,23.22,17.83683394993689
EMP00123,Rym Zouari,Logistics,5570341,2010-04-26,0.2667,2,191.4,1,0.9701,0.1199,4.5,0,301,0.0598,1.37,17.277140018733746
EMP00124,Ons Ayari,Finance,2745139,2024-04-12,0.7742,1,28.4,2,0.8888,0.1383,4.0,0,342,0.0831,32.79,29.04351532126917
EMP00125,Bilel Boujemaa,Sales,2960496,2010-03-08,0.3871,1,194.1,3,0.9453,0.2934,3.5,0,18,0.0114,30.92,20.304453008947085
EMP00126,Bechir Dridi,Sales,2615707,2022-07-25,0.5667,1,39.8,1,0.7011,0.2711,3.5,1,34,0.4879,25.11,8.770959361349908
EMP00127,Sami Riahi,Sales,1625085,2024-08-31,0.7419,1,22.7,0,0.9346,0.1252,3.5,0,365,0.1291,38.73,27.66133328651275
EMP00128,Nesrine Zouari,Finance,5516056,2023-08-20,0.4839,2,32.8,5,0.9111,0.0981,4.5,0,346,0.086,17.78,26.16792804419496
EMP00129,Emna Ayari,Engineering,5783666,2025-12-04,0.2,2,6.0,0,0.7167,0.1675,4.0,0,365,0.4199,4.43,5.810576610532429
EMP00130,Riadh Boughanmi,Support,1715942,2025-05-09,0.3871,1,12.1,1,0.8447,0.1991,3.5,0,149,0.0398,37.77,15.247648071588156
EMP00131,Ons Boujemaa,Finance,1122319,2021-05-01,0.2258,0,60.2,10,0.713,0.087,3.0,0,85,0.3186,44.78,7.879603886722766
EMP00132,Aymen Gharbi,Engineering,4269122,2020-09-20,0.7,2,62.0,1,0.7872,0.136,4.5,1,22,0.3453,47.07,16.740593920261286
EMP00133,Slim Elloumi,Finance,7422990,2024-04-15,0.2903,2,24.8,3,0.8858,0.1351,4.5,0,169,0.0131,31.74,16.947887393989657
EMP00134,Hana Mechri,Support,1362683,2026-06-30,0.0645,0,1.1,0,0.7012,0.1755,2.0,0,365,0.0359,24.33,0.0
EMP00135,Nizar Mejri,Support,1169606,2025-07-24,0.2143,0,6.5,1,0.8165,0.2212,2.5,0,192,0.2585,5.99,2.4538469987503757
EMP00136,Dorra Belhadj,Engineering,2488676,2026-02-28,0.8065,1,2.8,1,0.7428,0.0525,3.0,1,37,0.3514,32.23,4.786226271441362
EMP00137,Bilel Khemiri,Sales,1765175,2007-06-18,1.0,1,220.4,0,0.7253,0.1942,2.5,0,365,0.0083,11.83,36.707403078366426
EMP00138,Slim Ben Ali,Support,1550246,2025-12-13,0.7857,1,2.3,0,0.7959,0.2236,3.5,0,365,0.0942,27.17,7.585069536727608
EMP00139,Manel Boughanmi,Engineering,6947546,2025-11-04,0.8387,2,4.7,1,0.8859,0.0524,4.5,0,154,0.1686,32.1,29.712760233077244
EMP00140,Ines Cherif,Support,1261124,2022-08-06,0.2903,0,50.1,3,0.7527,0.11,2.5,1,20,0.2569,13.61,2.949442758456981
EMP00141,Nadia Zouari,Finance,1091815,2015-05-23,0.1613,0,127.5,8,0.8987,0.0719,2.5,0,40,0.0423,22.32,9.29981436889853
EMP00142,Rania Elloumi,Engineering,5974952,2025-10-15,0.871,2,3.4,0,0.9251,0.1427,4.5,0,365,0.3123,13.57,29.640039278234156
EMP00143,Khaled Ben Ali,Logistics,1074798,2026-02-12,0.5161,0,1.1,0,0.766,0.1834,2.0,0,365,0.103,16.43,3.2022157680320853
EMP00144,Houssem Boujemaa,Logistics,1461439,2025-11-17,0.4194,0,10.8,1,0.9007,0.1881,2.5,0,270,0.1295,15.51,10.527250033690269
EMP00145,Ahmed Laabidi,Sales,863133,2026-06-23,0.7742,0,2.0,1,0.825,0.2572,3.0,0,321,0.119,26.27,6.350774950128001
EMP00146,Hichem Elloumi,Support,1101265,2024-09-08,0.0333,0,13.8,2,0.8386,0.2258,2.0,1,29,0.2782,6.67,0.0
EMP00147,Salma Elloumi,Support,983521,2025-12-05,0.3871,0,1.2,0,0.8821,0.168,2.0,0,365,0.024,31.83,3.397052147814733
EMP00148,Samira Mansour,Logistics,1044701,2026-03-10,0.3871,0,5.1,0,0.9606,0.1417,2.5,1,365,0.4108,16.14,0.0
EMP00149,Khaled Tlili,Finance,2982705,2018-11-13,0.3333,1,83.9,1,0.8943,0.1368,4.0,0,292,0.0867,25.15,19.533583342179874
EMP00150,Mehdi Gharbi,Engineering,5339910,2026-03-15,0.7742,2,5.3,1,0.7842,0.1193,3.5,0,213,0.3183,40.94,22.679905494568466
EMP00151,Wafa Saidi,Support,1301925,2025-08-16,0.9355,0,5.5,0,0.9315,0.2117,2.0,1,365,0.2509,27.48,16.36013475478232
EMP00152,Olfa Yahyaoui,Support,2082756,2025-05-09,0.5333,1,16.3,0,0.9046,0.1809,3.5,0,365,0.0441,43.09,20.598873598291224
EMP00153,Tarek Laabidi,Finance,6450048,2025-08-14,0.0714,2,5.7,0,0.7542,0.0609,4.5,0,365,0.0935,9.76,5.0
EMP00154,Yassine Mechri,Finance,1814244,2026-01-05,0.8065,1,2.6,0,0.8703,0.1314,3.5,0,365,0.2189,25.18,7.405373689412297
EMP00155,Afef Riahi,Sales,973491,2026-05-10,0.5,0,1.2,1,0.7326,0.1814,2.0,1,30,0.4014,39.64,0.0
EMP00156,Rachid Khemiri,Sales,1893299,2025-09-07,0.129,1,2.9,1,0.7068,0.219,3.0,1,18,0.3938,31.82,0.0
EMP00157,Ines Boukthir,Support,2275334,2025-12-25,0.2903,1,4.4,0,0.8617,0.1355,2.5,0,365,0.2849,12.13,9.259731659924576
EMP00158,Anis Oueslati,Finance,3486043,2025-11-25,0.6667,1,4.8,0,0.8048,0.1355,3.5,1,365,0.3119,30.13,12.640944583865151
EMP00159,Fatma Jedidi,Support,3043481,2026-04-20,0.9355,1,3.3,0,0.8499,0.1774,3.5,0,365,0.0166,20.43,32.5527204829576
EMP00160,Salma Mejri,Logistics,2827155,2024-07-03,0.4516,1,27.4,1,0.808,0.2187,3.5,0,210,0.1689,19.01,16.14088754164221
EMP00161,Manel Gharbi,Finance,1556234,2026-03-05,0.5333,1,3.4,0,0.7115,0.1038,3.5,0,365,0.013,40.06,18.89073839672651
EMP00162,Samira Nasri,Finance,823443,2011-01-06,0.5161,0,182.3,3,0.7947,0.1171,2.5,0,355,0.0149,33.32,17.74004495304233
EMP00163,Yasmine Jedidi,Engineering,2528928,2008-11-05,0.4839,1,208.2,34,0.6194,0.1541,3.5,0,327,0.4587,31.8,17.493022811678685
EMP00164,Hatem Boujemaa,Finance,3312886,2026-02-01,0.6129,1,1.5,1,0.8386,0.0751,3.0,0,244,0.0489,2.8,6.52011321505709
EMP00165,Imed Hamdi,Sales,862092,2024-08-21,0.2903,0,23.6,3,0.8141,0.2897,2.0,0,273,0.0439,19.45,6.987374254498403
EMP00166,Wael Chaabane,Support,1802759,2020-05-19,0.4286,1,68.8,8,0.9868,0.1462,3.5,0,86,0.0234,27.37,24.5113858834659
EMP00167,Maher Tlili,Finance,4486703,2020-12-01,0.6129,2,60.6,8,0.9037,0.1077,4.0,0,214,0.0119,3.34,29.761794901873174
EMP00168,Zied Mejri,Engineering,4442356,2023-08-18,0.6071,2,30.0,1,0.7873,0.0934,3.5,0,82,0.2739,21.5,21.033212454158896
EMP00169,Emna Boughanmi,Logistics,7954392,2014-09-03,0.9032,2,133.8,20,0.9221,0.2143,4.5,0,357,0.0953,14.16,38.936933551748936
EMP00170,Cyrine Boujemaa,Logistics,2759766,2024-08-12,0.9,1,15.5,2,0.661,0.1556,3.0,1,41,0.4514,32.98,15.778229374052879
EMP00171,Cyrine Fakhfakh,Sales,2306936,2025-08-18,0.7,1,3.1,0,0.758,0.2197,3.5,0,365,0.0078,5.18,23.680156799178857
EMP00172,Hatem Belhadj,Finance,1757657,2026-05-06,0.8065,1,2.6,1,0.776,0.1228,3.5,0,123,0.3505,42.98,7.81075890638498
EMP00173,Slim Khlifi,Finance,3157615,2026-04-19,0.2258,1,2.6,0,0.9156,0.1212,3.5,0,365,0.0553,28.44,3.67623564853744
EMP00174,Dorra Boughanmi,Support,875033,2025-11-02,0.9333,0,7.8,1,0.8804,0.1102,2.0,1,44,0.3375,45.92,16.09574773495716
EMP00175,Meryem Chahed,Logistics,1407308,2025-05-25,0.1333,0,10.3,1,0.9239,0.2003,3.0,0,159,0.0134,22.0,4.922627995456491
EMP00176,Rym Chaabane,Sales,3427204,2022-10-24,0.1613,1,44.3,3,0.861,0.2368,3.0,0,198,0.0284,36.92,11.294225518125288
